ID;Variable;Question;Details;Type;Possible_Answers;Obsertations;
1;Survey_id;Identificación;Survey;Texto ;BO####, BR####, PE####;;
2;Country;País;Domicilio;Texto;Brazil, Peru, Bolivia;dictionary_Country.csv;
3;A1_informed_consent;Concentimiento de participación;Survey;Dicotómica;"Si, confirmo mi participación
No, confirmo mi participación";dictionary_A1_informed_consent.csv;
4;D1_birth_year;Año de nacimiento ;Edad;Texto numérico;1945 - 2005 ;;
5;D1_1_range;Rango del año de nacimiento;Edad;Texto numérico;"1=1997-2005
2=1981-1996
3=1965-1980
4=1945-1964";dictionary_D1_1_range.csv;
6;D2_sex;Sexo;Género;Dicotómica;"Mujer
Hombre";dictionary_D2_sex.csv;
7;D3_gender;¿Género con el cual se identifica?;Género - Especificación;Texto;"Bisexual
Cisgénero
Gay
Heterosexual
No binario
No informado
Otra expresión
Prefiero no responder
Queer
Transgénero";dictionary_D3_gender.csv;
8;D3_gender_classification;¿Género con el cual se identifica?;Género - Classificación;Texto;"Expresión de género
Identidad de género
Orientación sexual
Otros metadatos";dictionary_D3_gender_classification.csv;
9;D4_ethnic_group;¿Se identifica con alguno de estos grupos étnicos? ;Etnia;Texto ;"Blanco(a)
Indígena
Mestizo(a)
Negro(a)
No contesta
No sabe
Oriental / asiático
Outro";dictionary_D4_ethnic_group.csv;
10;D4_ethnic_group_especification;¿Se identifica con alguno de estos grupos étnicos? ;Etnia - Especificación;Texto ;Escrito por el participante ;dictionary_D4_ethnic_group_especification.csv;
11;D5_state;¿En qué departamento vive?;Domicilio;Texto ;Escrito por el participante;dictionary_D5_state.csv;
12;D6_city;¿En qué ciudad vive?;Domicilio;Texto ;Escrito por el participante;dictionary_D6_city.csv;
13;D7_marital_status;Estado civil;Estado civil;Factor;"Soltero
Casado
Divorciado
Viudo";dictionary_D7_marital_status.csv;
14;D8_1_children_0_3;Número de hijos con edades entre [0 a 3 años];Hijos;Texto numérico ;Escrito por el participante ;;
15;D8_2_children_4_6;Número de hijos con edades entre [4 a 6 años];Hijos;Texto numérico ;Escrito por el participante ;;
16;D8_3_children_7_11;Número de hijos con edades entre [7 a 11 años];Hijos;Texto numérico ;Escrito por el participante ;;
17;D8_4_children_12_17;Número de hijos con edades entre [12 a 17 años];Hijos;Texto numérico ;Escrito por el participante ;;
18;D9_completed_highschool;¿Tiene el nivel de educación secundaria completa?;Educación;Dicotómica;"Si 
No";dictionary_si_no.csv;
19;D9_1_1_attended_college; Nivel de educación (Debe marcar solo los obtenidos y en curso): [Superior universitario];Educación;Dicotómica;"Si 
No";dictionary_si_no.csv;
20;D9_1_2_attended_master;Nivel de educación (Debe marcar solo los obtenidos y en curso): [Maestría];Educación;Dicotómica;"Si 
No";dictionary_si_no.csv;
21;D9_1_3_attended_doctorate;Nivel de educación (Debe marcar solo los obtenidos y en curso): [Doctorado];Educación;Dicotómica;"Si 
No";dictionary_si_no.csv;
22;D9_1_4_attended_postdoc;Nivel de educación (Debe marcar solo los obtenidos y en curso): [Pós Doctorado];Educación;Dicotómica;"Si 
No";dictionary_si_no.csv;
23;D9_2_1_completed_college;¿Concluido? [Superior ];Educación;Dicotómica;"Si 
No";dictionary_si_no.csv;
24;D9_2_2_completed_master;¿Concluido? [Maestría];Educación;Dicotómica;"Si 
No";dictionary_si_no.csv;
25;D9_2_3_completed_doctorate;¿Concluido? [Doctorado];Educación;Dicotómica;"Si 
No";dictionary_si_no.csv;
26;D9_2_4_completed_postdoc;¿Concluido? [Pós Doctorado];Educación;Dicotómica;"Si 
No";dictionary_si_no.csv;
27;D9_3_1_college_area;Área Superior Universitaria ;Educación;Factor;"Ciencias (Ciencias naturales, ciencias sociales, ciencias de la salud y ciencias económicas.)
Tecnología, Ingeniería de Sistemas o Computación (Por ejemplo, ciencias de la computación, ingeniería de sistemas, ingeniería de software, informática, sistemas de información, licenciatura en Computación, desarrollo de software, ciberseguridad, Big Data, entre otras relacionadas)
Ingenierías relacionadas a la tecnología (Por ejemplo, ingeniería de sistemas, de software, informática, de telecomunicaciones, entre otras relacionadas)
Otras ingenierías (Por ejemplo, ingeniería civil, eléctrica, telecomunicaciones, económica, comercial, industrial, química, entre otras)
Humanidades (Filosofía, Teología, Literatura, Artes, Historia, entre otras)
Comunicaciones
Marketing, Publicidad
Banca y Seguros
Comercio Internacional
Educación
Gastronomía
Hotelería, Turismo
Otro";dictionary_course_area.csv;
28;D9_3_1_O_college_area_other;Área Superior Universitaria - Otros;Educación;Texto ;Escrito por el participante ;dictionary_courses.csv;
29;D9_3_2_master_area;Área Maestría;Educación;Factor;"Ciencias (Ciencias naturales, ciencias sociales, ciencias de la salud y ciencias económicas.)
Tecnología, Ingeniería de Sistemas o Computación (Por ejemplo, ciencias de la computación, ingeniería de sistemas, ingeniería de software, informática, sistemas de información, licenciatura en Computación, desarrollo de software, ciberseguridad, Big Data, entre otras relacionadas)
Ingenierías relacionadas a la tecnología (Por ejemplo, ingeniería de sistemas, de software, informática, de telecomunicaciones, entre otras relacionadas)
Otras ingenierías (Por ejemplo, ingeniería civil, eléctrica, telecomunicaciones, económica, comercial, industrial, química, entre otras)
Humanidades (Filosofía, Teología, Literatura, Artes, Historia, entre otras)
Comunicaciones
Marketing, Publicidad
Banca y Seguros
Comercio Internacional
Educación
Gastronomía
Hotelería, Turismo
Otro";dictionary_course_area.csv;
30;D9_3_2_O_master_area_other;Área Maestría - Otros;Educación;Texto ;Escrito por el participante ;dictionary_courses.csv;
