survey_Id;Country;D9_3_1_O_college_area_other;D9_3_1_O_college_area_other_spelling;D9_3_1_O_college_area_other_translate_es;D9_3_2_O_master_area_other;D9_3_2_O_master_area_other_spelling;D9_3_2_O_master_area_other_translate_es;D9_3_3_O_doctorate_area_other;D9_3_3_O_doctorate_area_other_spelling;D9_3_3_O_doctorate_area_other_translate_es;D9_3_4_O_postdoc_area_other;D9_3_4_O_postdoc_area_other_spelling;D9_3_4_O_postdoc_area_other_translate_es
BOL00001;Bolivia;;;;;;;;;;;;
BOL00002;Bolivia;;;;;;;;;;;;
BOL00003;Bolivia;;;;;;;;;;;;
BOL00004;Bolivia;;;;;;;;;;;;
BOL00005;Bolivia;;;;;;;;;;;;
BOL00006;Bolivia;;;;;;;;;;;;
BOL00007;Bolivia;;;;;;;;;;;;
BOL00008;Bolivia;;;;;;;;;;;;
BOL00009;Bolivia;;;;;;;;;;;;
BOL00010;Bolivia;;;;;;;;;;;;
BOL00011;Bolivia;;;;;;;;;;;;
BOL00012;Bolivia;;;;;;;;;;;;
BOL00013;Bolivia;;;;;;;;;;;;
BOL00014;Bolivia;;;;;;;;;;;;
BOL00015;Bolivia;;;;;;;;;;;;
BOL00016;Bolivia;;;;;;;;;;;;
BOL00017;Bolivia;;;;;;;;;;;;
BOL00018;Bolivia;;;;;;;;;;;;
BOL00019;Bolivia;;;;;;;;;;;;
BOL00020;Bolivia;;;;;;;;;;;;
BOL00021;Bolivia;;;;;;;;;;;;
BOL00022;Bolivia;;;;;;;;;;;;
BOL00023;Bolivia;;;;;;;;;;;;
BOL00024;Bolivia;;;;;;;;;;;;
BOL00025;Bolivia;;;;;;;;;;;;
BOL00026;Bolivia;;;;;;;;;;;;
BOL00027;Bolivia;;;;;;;;;;;;
BOL00028;Bolivia;;;;;;;;;;;;
BOL00029;Bolivia;;;;;;;;;;;;
BOL00030;Bolivia;;;;;;;;;;;;
BOL00031;Bolivia;TECNOMOGIA DE INFORMACION Y COMUNICACION;Tecnomogia de Informacion y Comunicación;Tecnomogia de Informacion y Comunicación;;;;;;;;;
BOL00032;Bolivia;;;;;;;;;;;;
BOL00033;Bolivia;;;;;;;;;;;;
BOL00034;Bolivia;;;;;;;;;;;;
BOL00035;Bolivia;;;;;;;;;;;;
BOL00036;Bolivia;;;;;;;;;;;;
BOL00037;Bolivia;;;;;;;;;;;;
BOL00038;Bolivia;;;;;;;;;;;;
BOL00039;Bolivia;;;;;;;;;;;;
BOL00040;Bolivia;VETERINARIO;Veterinario;Veterinario;;;;;;;;;
BOL00041;Bolivia;;;;;;;;;;;;
BOL00042;Bolivia;DERECHO;Derecho;Derecho;;;;;;;;;
BOL00043;Bolivia;;;;;;;;;;;;
BOL00044;Bolivia;;;;;;;;;;;;
BOL00045;Bolivia;;;;;;;;;;;;
BOL00046;Bolivia;;;;;;;;;;;;
BOL00047;Bolivia;;;;;;;;;;;;
BOL00048;Bolivia;;;;;;;;;;;;
BOL00049;Bolivia;;;;;;;;;;;;
BOL00050;Bolivia;;;;;;;;;;;;
BOL00051;Bolivia;;;;;;;;;;;;
BOL00052;Bolivia;;;;;;;;;;;;
BOL00053;Bolivia;Nutricion;Nutricion;Nutricion;;;;;;;;;
BOL00054;Bolivia;PSICOLOGÍA;Psicología;Psicología;;;;;;;;;
BOL00055;Bolivia;;;;;;;;;;;;
BOL00056;Bolivia;;;;;;;;;;;;
BOL00057;Bolivia;;;;;;;;;;;;
BOL00058;Bolivia;;;;;;;;;;;;
BOL00059;Bolivia;;;;;;;;;;;;
BOL00060;Bolivia;;;;;;;;;;;;
BOL00061;Bolivia;;;;;;;;;;;;
BOL00062;Bolivia;;;;;;;;;;;;
BOL00063;Bolivia;;;;;;;;;;;;
BOL00064;Bolivia;;;;;;;;;;;;
BOL00065;Bolivia;;;;;;;;;;;;
BOL00066;Bolivia;;;;;;;;;;;;
BOL00067;Bolivia;;;;;;;;;;;;
BOL00068;Bolivia;;;;;;;;;;;;
BOL00069;Bolivia;;;;;;;;;;;;
BOL00070;Bolivia;;;;;;;;;;;;
BOL00071;Bolivia;;;;;;;;;;;;
BOL00072;Bolivia;;;;;;;;;;;;
BOL00073;Bolivia;;;;;;;;;;;;
BOL00074;Bolivia;;;;;;;;;;;;
BOL00075;Bolivia;;;;;;;;;;;;
BOL00076;Bolivia;;;;;;;;;;;;
BOL00077;Bolivia;;;;;;;;;;;;
BOL00078;Bolivia;;;;;;;;;;;;
BOL00079;Bolivia;;;;;;;;;;;;
BOL00080;Bolivia;;;;;;;;;;;;
BOL00081;Bolivia;Derecho;Derecho;Derecho;;;;;;;;;
BOL00082;Bolivia;;;;;;;;;;;;
BOL00083;Bolivia;;;;;;;;;;;;
BOL00084;Bolivia;;;;;;;;;;;;
BOL00085;Bolivia;;;;;;;;;;;;
BOL00086;Bolivia;;;;;;;;;;;;
BOL00087;Bolivia;;;;;;;;;;;;
BOL00088;Bolivia;;;;;;;;;;;;
BOL00089;Bolivia;;;;;;;;;;;;
BOL00090;Bolivia;;;;;;;;;;;;
BOL00091;Bolivia;;;;;;;;;;;;
BOL00092;Bolivia;;;;;;;;;;;;
BOL00093;Bolivia;;;;;;;;;;;;
BOL00094;Bolivia;;;;;;;;;;;;
BOL00095;Bolivia;;;;;;;;;;;;
BOL00096;Bolivia;;;;;;;;;;;;
BOL00097;Bolivia;;;;;;;;;;;;
BOL00098;Bolivia;;;;;;;;;;;;
BOL00099;Bolivia;ELECTROMECANICA;Electromecanica;Electromecanica;;;;;;;;;
BOL00100;Bolivia;;;;;;;;;;;;
