course_area_id;course_area_description
1;Ciencias (Ciencias naturales, ciencias sociales, ciencias de la salud y ciencias económicas.)
2;Tecnología, Ingeniería de Sistemas o Computación (Por ejemplo, ciencias de la computación, ingeniería de sistemas, ingeniería de software, informática, sistemas de información, licenciatura en Computación, desarrollo de software, ciberseguridad, Big Data, entre otras relacionadas)
3;Ingenierías relacionadas a la tecnología (Por ejemplo, ingeniería de sistemas, de software, informática, de telecomunicaciones, entre otras relacionadas)
4;Otras ingenierías (Por ejemplo, ingeniería civil, eléctrica, telecomunicaciones, económica, comercial, industrial, química, entre otras)
5;Humanidades (Filosofía, Teología, Literatura, Artes, Historia, entre otras)
6;Comunicaciones
7;Marketing, Publicidad
8;Banca y Seguros
9;Comercio Internacional
10;Educación
11;Gastronomía
12;Hotelería, Turismo
13;Otro
