id;description
1;Abogada
2;Administración
3;Administración Bancaria
4;Administración Empresarial
5;Administración Financiera
6;Administración Industrial
7;Administración de Empresa
8;Administración de Empresas
9;Administración de Empresas y Negocios Internacionales
10;Administración de Negocios
11;Administración de Negocios Internacionales
12;Administración de Personal
13;Administración del Talento Humano
14;Administración y Finanzas
15;Administración y Marketing
16;Administración/marketing/derecho/tributario
17;Administrativa
18;Agronomía
19;Almacen
20;Ambiental
21;Animal
22;Análisis Clínicos
23;Análisis de Sistemas
24;Archivología
25;Arquitecto
26;Arquitectura
27;Arquitectura Urbanismo
28;Arquitectura y Urbanismo
29;Arte Ciencias y Habitad
30;Artes
31;Artes Escénicas
32;Artes y Habitad
33;Asesor Comercial
34;Auditoría
35;Ayudante Cocina
36;Bibliotecología
37;Biomedicina
38;Bioquimica y Farmacia
39;Bioquímica
40;Bioquímica y Farmacia
41;Bioquímico y Farmacia
42;Cantante
43;Ciencia Política
44;Ciencia de la Información
45;Ciencias Agrarias
46;Ciencias Agrícolas Pecuarias y Ciencias Naturales
47;Ciencias Aplicadas
48;Ciencias Biológicas
49;Ciencias Contables
50;Ciencias Económicas
51;Ciencias Humanas
52;Ciencias Jurídicas
53;Ciencias Jurídicas y Politicas
54;Ciencias Maritimo Navales
55;Ciencias Matemáticas
56;Ciencias Policiales de Seguridad y Orden Público
57;Ciencias Políticas
58;Ciencias Sociales/Ciencia de la Información
59;Ciencias de la Educación
60;Ciencias del Habitad
61;Ciencias y Educación
62;Comercio
63;Computación y Informática
64;Comunicación Social
65;Confecciones
66;Conservación de Alimentos
67;Construcción
68;Contabilidad
69;Contabilidad y Administración
70;Contables
71;Contador
72;Contaduría
73;Contaduría Pública
74;Cosmetologa
75;Criminología
76;Dentista
77;Derecho
78;Derecho Penal Yciencias Criminologícas
79;Derecho Penal y Ciencias Criminologicas
80;Derecho y Ciencia Política
81;Derecho y Ciencias Políticas
82;Derecho y Ciencias Sociales
83;Diseñador Grafico
84;Diseño
85;Diseño Gráfico
86;Diseño Gráfico Empresarial
87;Diseño de Interiores
88;Diseño de Juegos
