"survey_Id","Country","D3_gender","Spelling"
"BOL00001","Bolivia","Masculino","Masculino"
"BOL00002","Bolivia","Masculino","Masculino"
"BOL00003","Bolivia","Masculino","Masculino"
"BOL00004","Bolivia","Femenino","Feminino"
"BOL00005","Bolivia","Femenino","Feminino"
"BOL00006","Bolivia","Femenino","Feminino"
"BOL00007","Bolivia","Femenino","Feminino"
"BOL00008","Bolivia","Femenino","Feminino"
"BOL00009","Bolivia","Femenino","Feminino"
"BOL00010","Bolivia","Femenino","Feminino"
"BOL00011","Bolivia","Femenino","Feminino"
"BOL00012","Bolivia","No binario","No binario"
"BOL00013","Bolivia","No sabe","No sabe"
"BOL00014","Bolivia","No sabe","No sabe"
"BOL00015","Bolivia","No sabe","No sabe"
"BOL00016","Bolivia","No sabe","No sabe"
"BOL00017","Bolivia","Genderqueer","Genderqueer"
"BOL00018","Bolivia","Genderqueer","Genderqueer"
"BOL00019","Bolivia","Genderqueer","Genderqueer"
"BOL00020","Bolivia","Genderqueer","Genderqueer"
"BOL00021","Bolivia","Transgénero","Transgénero"
"BOL00022","Bolivia","Transgénero","Transgénero"
"BOL00023","Bolivia","No binario","No binario"
"BOL00024","Bolivia","No binario","No binario"
"BOL00025","Bolivia","No binario","No binario"
"BOL00026","Bolivia","Masculino","Masculino"
"BOL00027","Bolivia","Masculino","Masculino"
"BOL00028","Bolivia","Masculino","Masculino"
"BOL00029","Bolivia","Masculino","Masculino"
"BOL00030","Bolivia","Masculino","Masculino"
"BOL00031","Bolivia","Masculino","Masculino"
"BOL00032","Bolivia","Masculino","Masculino"
"BOL00033","Bolivia","Masculino","Masculino"
"BOL00034","Bolivia","Masculino","Masculino"
"BOL00035","Bolivia","Masculino","Masculino"
"BOL00036","Bolivia","Masculino","Masculino"
"BOL00037","Bolivia","Masculino","Masculino"
"BOL00038","Bolivia","Masculino","Masculino"
"BOL00039","Bolivia","Masculino","Masculino"
"BOL00040","Bolivia","Masculino","Masculino"
"BOL00041","Bolivia","Masculino","Masculino"
"BOL00042","Bolivia","Masculino","Masculino"
"BOL00043","Bolivia","Masculino","Masculino"
"BOL00044","Bolivia","Masculino","Masculino"
"BOL00045","Bolivia","Masculino","Masculino"
"BOL00046","Bolivia","Masculino","Masculino"
"BOL00047","Bolivia","Masculino","Masculino"
"BOL00048","Bolivia","Masculino","Masculino"
"BOL00049","Bolivia","Masculino","Masculino"
"BOL00050","Bolivia","Masculino","Masculino"
"BOL00051","Bolivia","Masculino","Masculino"
