Termo original;Correção
Masculino;Masculino
Femenino;Femenino
No binario;No binario
No sabe;No sabe
Genderqueer;Genderqueer
Transgénero;Transgénero
Feminino;Feminino
Mulher;Mulher
Heterossexual;Heterossexual
FEMININO;Feminino
homesexual;Homosexual
mulher;Mulher
feminino;Feminino
hetero;Hétero
eminino;Feminino
Heterosexual;Heterosexual
hétero;Hétero
Homem;Homem
Etero;Hétero
Feminino - Hétero Cisgênero;Feminino - Hétero Cisgênero
Mulher CIS;Mulher cisgênero
Hétero;Hétero
Mulher cis;Mulher cisgênero
Masc;Masculino
feminina;Feminino
Hetero;Hétero
Hétero.;Hétero
Masculina;Masculino
Masculino heterossexual;Masculino heterossexual
macho;Masculino
Mulher/Feminino;Feminino
cis;Cisgênero
Cisgereno;Cisgênero
feiminino;Feminino
Branca;Branca
Feminino mulhere;Feminino
Bissexual;Bissexual
Cisgenero;Cisgênero
Agenero;Agênero
Cis;Cisgênero
cisgenero;Cisgênero
Feninino;Feminino
Ele;Masculino
Macho;Masculino
Feminina;Feminino
homem;Homem
Cisgênero;Cisgênero
cisgênero;Cisgênero
não binário;Não-binário
femenino;Femenino
Sou homem;Homem
Homem Heterossexual;Homem heterossexual
HOMEM CIS;Homem cisgênero
Feminino - Cisgenero;Feminino - Cisgênero
HETEROSSEXUAI;Heterossexual
FEMENINO;Femenino
Homossexual;Homossexual
HETEROSSEXUAL;Heterossexual
Homem sis;Homem cisgênero
Homen;Homem
Branco;Branco
Cisgeneto;Cisgênero
fenimino;Feminino
homen;Homem
Femino;Feminino
Homem cis;Homem cisgênero
Homem Cisgênero;Homem cisgênero
Homo Sapiens;Homem
heterosexual;Heterossexual
Gay;Gay
Heteoro;Hétero
etero;Hétero
Binário;Não-binário
Heterossexual (feminino);Heterossexual (feminino)
heterossexual;Heterossexual
mulher cis;Mulher cisgênero
Héterosexual;Heterossexual
feminimo;Feminino
Mulher cis gênero;Mulher cisgênero
mulher cisgênero;Mulher cisgênero
Feminino (Mulher);Feminino (Mulher)
Masculino cisgênero;Masculino cisgênero
Homem Cis;Homem cisgênero
heterogêneo;Heterossexual
Máscara;Masculino
Mas;Masculino
Nenhum;Nenhum
cisgênero masculino;Masculino cisgênero
HETERO;Hétero
Feminink;Feminino
branco;Branco
Cisnero;Cisgênero
Mulher cisgênero;Mulher cisgênero
MULHER FEMININA;Feminino
masc;Masculino
femino;Feminino
Fêmea;Feminino
Gênero é pra palavras. Sou do sexo feminino;Gênero é para palavras. Sou do sexo feminino
Ferminino;Feminino
Hétero feminina;Hétero feminina
Homosexual;Homosexual
Ela;Feminino
Hetero sexual;Heterossexual
Não-binário;Não-binário
Mulher Cis;Mulher cisgênero
masculino, heterosexual;Masculino, heterossexual
Masculino, homem cisgênero;Masculino, homem cisgênero
Bicha loucq;Bicha louca
Héterossexual;Heterossexual
Femenina;Femenino
MACHO;Masculino
Femininos;Feminino
Negro;Negro
masculina;Masculino
Homem (masculino);Homem (Masculino)
Homem Cis.;Homem cisgênero
Femimino;Feminino
homem cis;Homem cisgênero
HETEROSEXUAL;Heterossexual
heterosexul;Heterossexual
Não Binare;Não-binário
HEtero;Hétero
homi;Homem
feminino normal;Feminino
heteresexual;Heterossexual
Demosexual;Demisexual
Feminino né;Feminino
MULHER;Mulher
HOMEM;Homem
Mulher cisgenero;Mulher cisgênero
BISSEXUAL;Bissexual
man;Man
Femea;Feminino
nan;nan
Só existe homem ou mulher;Só existe homem ou mulher
Masculino (CIS);Masculino (cisgênero)
heterosexual feminino;Heterossexual feminina
Femininofeminino;Feminino
Hetereo;Hétero
heteronormativo;Heteronormativo
Homem hétero;Homem hétero
Fminino;Feminino
Feminismo;Feminismo
Marcelo;Marcelo
Femininio;Feminino
Ninguna;Ninguna
Prefiero no responder;Prefiero no responder
Neutro;Neutro
No tengo preferencia el que sea idonio;No tengo preferencia, que sea idóneo
genero fluido;Género fluido
Bisexual;Bisexual
chico trans;Chico trans
MUJER CISGÉNERO;Mujer cisgénero
Ambos;Ambos
