survey_Id;Country;D3_gender;Spelling ;Translate_ES;Synonyms;Contextualization;SOGIE;SOGIE_Classification
BOL00001;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00002;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00003;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00004;Bolivia;Femenino;Femenino;Femenino;Femenino;Femenino;Cisgénero;Identidad de género
BOL00005;Bolivia;Femenino;Femenino;Femenino;Femenino;Femenino;Cisgénero;Identidad de género
BOL00006;Bolivia;Femenino;Femenino;Femenino;Femenino;Femenino;Cisgénero;Identidad de género
BOL00007;Bolivia;Femenino;Femenino;Femenino;Femenino;Femenino;Cisgénero;Identidad de género
BOL00008;Bolivia;Femenino;Femenino;Femenino;Femenino;Femenino;Cisgénero;Identidad de género
BOL00009;Bolivia;Femenino;Femenino;Femenino;Femenino;Femenino;Cisgénero;Identidad de género
BOL00010;Bolivia;Femenino;Femenino;Femenino;Femenino;Femenino;Cisgénero;Identidad de género
BOL00011;Bolivia;Femenino;Femenino;Femenino;Femenino;Femenino;Cisgénero;Identidad de género
BOL00012;Bolivia;No binario;No binario;No binario;No binario;No binario;No binario;Identidad de género
BOL00013;Bolivia;No sabe;No sabe;No sabe;No sabe;No sabe;No informado;Otros metadatos
BOL00014;Bolivia;No sabe;No sabe;No sabe;No sabe;No sabe;No informado;Otros metadatos
BOL00015;Bolivia;No sabe;No sabe;No sabe;No sabe;No sabe;No informado;Otros metadatos
BOL00016;Bolivia;No sabe;No sabe;No sabe;No sabe;No sabe;No informado;Otros metadatos
BOL00017;Bolivia;Genderqueer;Genderqueer;Genderqueer;Queer;Queer;Queer;Expresión de género
BOL00018;Bolivia;Genderqueer;Genderqueer;Genderqueer;Queer;Queer;Queer;Expresión de género
BOL00019;Bolivia;Genderqueer;Genderqueer;Genderqueer;Queer;Queer;Queer;Expresión de género
BOL00020;Bolivia;Genderqueer;Genderqueer;Genderqueer;Queer;Queer;Queer;Expresión de género
BOL00021;Bolivia;Transgénero;Transgénero;Transgénero;Transgénero;Transgénero;Transgénero;Identidad de género
BOL00022;Bolivia;Transgénero;Transgénero;Transgénero;Transgénero;Transgénero;Transgénero;Identidad de género
BOL00023;Bolivia;No binario;No binario;No binario;No binario;No binario;No binario;Identidad de género
BOL00024;Bolivia;No binario;No binario;No binario;No binario;No binario;No binario;Identidad de género
BOL00025;Bolivia;No binario;No binario;No binario;No binario;No binario;No binario;Identidad de género
BOL00026;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00027;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00028;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00029;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00030;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00031;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00032;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00033;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00034;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00035;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00036;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00037;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00038;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00039;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00040;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00041;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00042;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00043;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00044;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00045;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00046;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00047;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00048;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00049;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00050;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00051;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00052;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00053;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00054;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00055;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00056;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00057;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00058;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00059;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00060;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00061;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00062;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00063;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00064;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00065;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00066;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00067;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00068;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00069;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00070;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00071;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00072;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00073;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00074;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00075;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00076;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00077;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00078;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00079;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00080;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00081;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00082;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00083;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00084;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00085;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00086;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00087;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00088;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00089;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00090;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00091;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00092;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00093;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00094;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00095;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00096;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00097;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00098;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00099;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00100;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00101;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00102;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00103;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00104;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00105;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00106;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00107;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00108;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00109;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00110;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00111;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00112;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00113;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00114;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00115;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00116;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00117;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00118;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00119;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00120;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00121;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00122;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00123;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00124;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00125;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00126;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00127;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00128;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00129;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00130;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00131;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00132;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00133;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00134;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00135;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00136;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00137;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00138;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00139;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00140;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00141;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00142;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00143;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00144;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00145;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00146;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00147;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00148;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00149;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00150;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00151;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00152;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00153;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00154;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00155;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00156;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00157;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00158;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00159;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00160;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00161;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00162;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00163;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00164;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00165;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00166;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00167;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00168;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00169;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00170;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00171;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00172;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00173;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00174;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00175;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00176;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00177;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00178;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00179;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00180;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00181;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00182;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00183;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00184;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00185;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00186;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00187;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00188;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00189;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00190;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00191;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00192;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00193;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00194;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00195;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00196;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00197;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00198;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00199;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00200;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00201;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00202;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00203;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00204;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00205;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00206;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00207;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00208;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
