Idioma;original;corrigido
pt;Agenero;Agênero
pt;BISSEXUAL;Bissexual
pt;Bicha loucq;Bicha louca
pt;Binário;Binário
pt;Bissexual;Bissexual
pt;Branca;Branca
pt;Branco;Branco
pt;Cis;Cis
pt;Cisgenero;Cisgênero
pt;Cisgeneto;Cisgênero
pt;Cisgereno;Cisgênero
pt;Cisgênero;Cisgênero
pt;Cisnero;Cisgênero
pt;Demosexual;Demissexual
pt;Ela;Ela
pt;Ele;Ele
pt;Femenina;Feminina
pt;Femenino;Feminino
pt;Femimino;Feminino
pt;Feminina;Feminina
pt;Femininio;Feminino
pt;Feminink;Feminino
pt;Feminino;Feminino
pt;Feminino (Mulher);Feminino (mulher)
pt;Feminino - Cisgenero;Feminino - Cisgênero
pt;Feminino - Hétero Cisgênero;Feminino - Hétero cisgênero
pt;Feminino mulhere;Feminino (mulher)
pt;Feminino né;Feminino
pt;Femininofeminino;Feminino
pt;Femininos;Femininos
pt;Feminismo;Feminismo
pt;Femino;Feminino
pt;Feninino;Feminino
pt;Ferminino;Feminino
pt;Fminino;Feminino
pt;Fêmea;Fêmea
pt;Gay;Gay
pt;Gênero é pra palavras. Sou do sexo feminino;Gênero é para palavras. Sou do sexo feminino
pt;HETERO;Hetero
pt;HETEROSEXUAL;Heterossexual
pt;HETEROSSEXUAI;Heterossexual
pt;HETEROSSEXUAL;Heterossexual
pt;HEtero;Hetero
pt;HOMEM;Homem
pt;HOMEM CIS;Homem cis
pt;Heteoro;Hetero
pt;Hetereo;Hetero
pt;Hetero;Hetero
pt;Hetero sexual;Heterossexual
pt;Heterosexual;Heterossexual
pt;Heterossexual;Heterossexual
pt;Heterossexual (feminino);Heterossexual (feminino)
pt;Homem;Homem
pt;Homem (masculino);Homem (masculino)
pt;Homem Cis;Homem cis
pt;Homem Cis.;Homem cis
pt;Homem Cisgênero;Homem cisgênero
pt;Homem Heterossexual;Homem heterossexual
pt;Homem cis;Homem cis
pt;Homem hétero;Homem hétero
pt;Homem sis;Homem cis
pt;Homen;Homem
pt;Homo Sapiens;Homo sapiens
pt;Homosexual;Homossexual
pt;Homossexual;Homossexual
pt;Hétero;Hétero
pt;Hétero feminina;Hétero feminina
pt;Hétero.;Hétero
pt;Héterosexual;Heterossexual
pt;Héterossexual;Heterossexual
pt;MACHO;Macho
pt;MULHER;Mulher
pt;MULHER FEMININA;Mulher feminina
pt;Macho;Macho
pt;Marcelo;Marcelo
pt;Mas;Mas
pt;Masc;Masc
pt;Masculina;Masculina
pt;Masculino;Masculino
pt;Masculino (CIS);Masculino (cis)
pt;Masculino cisgênero;Masculino cisgênero
pt;Masculino heterossexual;Masculino heterossexual
pt;Masculino, homem cisgênero;Masculino, homem cisgênero
pt;Mulher;Mulher
pt;Mulher CIS;Mulher cis
pt;Mulher Cis;Mulher cis
pt;Mulher cis;Mulher cis
pt;Mulher cis gênero;Mulher cisgênero
pt;Mulher cisgenero;Mulher cisgênero
pt;Mulher cisgênero;Mulher cisgênero
pt;Mulher/Feminino;Mulher/Feminino
pt;Máscara;Máscara
pt;Negro;Negro
pt;Nenhum;Nenhum
pt;Não Binare;Não binárie
pt;Não-binário;Não-binário
pt;Sou homem;Sou homem
pt;Só existe homem ou mulher;Só existe homem ou mulher
pt;branco;Branco
pt;cis;Cis
pt;cisgenero;Cisgênero
pt;cisgênero;Cisgênero
pt;cisgênero masculino;Cisgênero masculino
pt;eminino;Feminino
pt;etero;Hetero
pt;feiminino;Feminino
pt;femenino;Feminino
pt;feminimo;Feminino
pt;feminina;Feminina
pt;feminino;Feminino
pt;feminino normal;Feminino normal
pt;femino;Feminino
pt;fenimino;Feminino
pt;heteresexual;Heterossexual
pt;hetero;Hetero
pt;heterogêneo;Heterogêneo
pt;heteronormativo;Heteronormativo
pt;heterosexual;Heterossexual
pt;heterosexual feminino;Heterossexual feminino
pt;heterosexul;Heterossexual
pt;heterossexual;Heterossexual
pt;homem;Homem
pt;homem cis;Homem cis
pt;homen;Homem
pt;homesexual;Homossexual
pt;homi;Homi
pt;hétero;Hétero
pt;macho;Macho
pt;man;Man
pt;masc;Masc
pt;masculina;Masculina
pt;masculino, heterosexual;Masculino, heterossexual
pt;mulher;Mulher
pt;mulher cis;Mulher cis
pt;mulher cisgênero;Mulher cisgênero
pt;não binário;Não binário
pt;Etero;Hetero
pt;FEMENINO;Feminino
pt;FEMININO;Feminino
pt;Femea;Fêmea
es;Ambos;Ambos
es;Bisexual;Bisexual
es;Femenino;Femenino
es;Heterosexual;Heterosexual
es;MUJER CISGÉNERO;Mujer cisgénero
es;Masculino;Masculino
es;Neutro;Neutro
es;Ninguna;Ninguna
es;No binario;No binario
es;No tengo preferencia el que sea idonio;No tengo preferencia, el que sea idóneo
es;Prefiero no responder;Prefiero no responder
es;chico trans;Chico trans
es;genero fluido;Género fluido
es;Genderqueer;Genderqueer
es;No sabe;No sabe
es;Transgénero;Transgénero
