survey_Id;Country;D3_gender
BOL00001;Bolivia;Masculino
BOL00002;Bolivia;Masculino
BOL00003;Bolivia;Masculino
BOL00004;Bolivia;Femenino
BOL00005;Bolivia;Femenino
BOL00006;Bolivia;Femenino
BOL00007;Bolivia;Femenino
BOL00008;Bolivia;Femenino
BOL00009;Bolivia;Femenino
BOL00010;Bolivia;Femenino
BOL00011;Bolivia;Femenino
BOL00012;Bolivia;No binario
BOL00013;Bolivia;No sabe
BOL00014;Bolivia;No sabe
BOL00015;Bolivia;No sabe
BOL00016;Bolivia;No sabe
BOL00017;Bolivia;Genderqueer
BOL00018;Bolivia;Genderqueer
BOL00019;Bolivia;Genderqueer
BOL00020;Bolivia;Genderqueer
BOL00021;Bolivia;Transgénero
BOL00022;Bolivia;Transgénero
BOL00023;Bolivia;No binario
BOL00024;Bolivia;No binario
BOL00025;Bolivia;No binario
BOL00026;Bolivia;Masculino
BOL00027;Bolivia;Masculino
BOL00028;Bolivia;Masculino
BOL00029;Bolivia;Masculino
BOL00030;Bolivia;Masculino
BOL00031;Bolivia;Masculino
BOL00032;Bolivia;Masculino
BOL00033;Bolivia;Masculino
BOL00034;Bolivia;Masculino
BOL00035;Bolivia;Masculino
BOL00036;Bolivia;Masculino
BOL00037;Bolivia;Masculino
BOL00038;Bolivia;Masculino
BOL00039;Bolivia;Masculino
BOL00040;Bolivia;Masculino
BOL00041;Bolivia;Masculino
BOL00042;Bolivia;Masculino
BOL00043;Bolivia;Masculino
BOL00044;Bolivia;Masculino
BOL00045;Bolivia;Masculino
BOL00046;Bolivia;Masculino
BOL00047;Bolivia;Masculino
BOL00048;Bolivia;Masculino
BOL00049;Bolivia;Masculino
BOL00050;Bolivia;Masculino
BOL00051;Bolivia;Masculino
BOL00052;Bolivia;Masculino
BOL00053;Bolivia;Masculino
BOL00054;Bolivia;Masculino
BOL00055;Bolivia;Masculino
BOL00056;Bolivia;Masculino
BOL00057;Bolivia;Masculino
BOL00058;Bolivia;Masculino
BOL00059;Bolivia;Masculino
BOL00060;Bolivia;Masculino
BOL00061;Bolivia;Masculino
BOL00062;Bolivia;Masculino
BOL00063;Bolivia;Masculino
BOL00064;Bolivia;Masculino
BOL00065;Bolivia;Masculino
BOL00066;Bolivia;Masculino
BOL00067;Bolivia;Masculino
BOL00068;Bolivia;Masculino
BOL00069;Bolivia;Masculino
BOL00070;Bolivia;Masculino
BOL00071;Bolivia;Masculino
BOL00072;Bolivia;Masculino
BOL00073;Bolivia;Masculino
BOL00074;Bolivia;Masculino
BOL00075;Bolivia;Masculino
BOL00076;Bolivia;Masculino
BOL00077;Bolivia;Masculino
BOL00078;Bolivia;Masculino
BOL00079;Bolivia;Masculino
BOL00080;Bolivia;Masculino
BOL00081;Bolivia;Masculino
BOL00082;Bolivia;Masculino
BOL00083;Bolivia;Masculino
BOL00084;Bolivia;Masculino
BOL00085;Bolivia;Masculino
BOL00086;Bolivia;Masculino
BOL00087;Bolivia;Masculino
BOL00088;Bolivia;Masculino
BOL00089;Bolivia;Masculino
BOL00090;Bolivia;Masculino
BOL00091;Bolivia;Masculino
BOL00092;Bolivia;Masculino
BOL00093;Bolivia;Masculino
BOL00094;Bolivia;Masculino
BOL00095;Bolivia;Masculino
BOL00096;Bolivia;Masculino
BOL00097;Bolivia;Masculino
BOL00098;Bolivia;Masculino
BOL00099;Bolivia;Masculino
BOL00100;Bolivia;Masculino
BOL00101;Bolivia;Masculino
BOL00102;Bolivia;Masculino
BOL00103;Bolivia;Masculino
BOL00104;Bolivia;Masculino
BOL00105;Bolivia;Masculino
BOL00106;Bolivia;Masculino
BOL00107;Bolivia;Masculino
BOL00108;Bolivia;Masculino
BOL00109;Bolivia;Masculino
BOL00110;Bolivia;Masculino
BOL00111;Bolivia;Masculino
BOL00112;Bolivia;Masculino
BOL00113;Bolivia;Masculino
BOL00114;Bolivia;Masculino
BOL00115;Bolivia;Masculino
BOL00116;Bolivia;Masculino
BOL00117;Bolivia;Masculino
BOL00118;Bolivia;Masculino
BOL00119;Bolivia;Masculino
BOL00120;Bolivia;Masculino
BOL00121;Bolivia;Masculino
BOL00122;Bolivia;Masculino
BOL00123;Bolivia;Masculino
BOL00124;Bolivia;Masculino
BOL00125;Bolivia;Masculino
BOL00126;Bolivia;Masculino
BOL00127;Bolivia;Masculino
BOL00128;Bolivia;Masculino
BOL00129;Bolivia;Masculino
BOL00130;Bolivia;Masculino
BOL00131;Bolivia;Masculino
BOL00132;Bolivia;Masculino
BOL00133;Bolivia;Masculino
BOL00134;Bolivia;Masculino
BOL00135;Bolivia;Masculino
BOL00136;Bolivia;Masculino
BOL00137;Bolivia;Masculino
BOL00138;Bolivia;Masculino
BOL00139;Bolivia;Masculino
BOL00140;Bolivia;Masculino
BOL00141;Bolivia;Masculino
BOL00142;Bolivia;Masculino
BOL00143;Bolivia;Masculino
BOL00144;Bolivia;Masculino
BOL00145;Bolivia;Masculino
BOL00146;Bolivia;Masculino
BOL00147;Bolivia;Masculino
BOL00148;Bolivia;Masculino
BOL00149;Bolivia;Masculino
BOL00150;Bolivia;Masculino
BOL00151;Bolivia;Masculino
BOL00152;Bolivia;Masculino
BOL00153;Bolivia;Masculino
BOL00154;Bolivia;Masculino
BOL00155;Bolivia;Masculino
BOL00156;Bolivia;Masculino
BOL00157;Bolivia;Masculino
BOL00158;Bolivia;Masculino
BOL00159;Bolivia;Masculino
BOL00160;Bolivia;Masculino
BOL00161;Bolivia;Masculino
BOL00162;Bolivia;Masculino
BOL00163;Bolivia;Masculino
BOL00164;Bolivia;Masculino
BOL00165;Bolivia;Masculino
BOL00166;Bolivia;Masculino
BOL00167;Bolivia;Masculino
BOL00168;Bolivia;Masculino
BOL00169;Bolivia;Masculino
BOL00170;Bolivia;Masculino
BOL00171;Bolivia;Masculino
BOL00172;Bolivia;Masculino
BOL00173;Bolivia;Masculino
BOL00174;Bolivia;Masculino
BOL00175;Bolivia;Masculino
BOL00176;Bolivia;Masculino
BOL00177;Bolivia;Masculino
BOL00178;Bolivia;Masculino
BOL00179;Bolivia;Masculino
BOL00180;Bolivia;Masculino
BOL00181;Bolivia;Masculino
BOL00182;Bolivia;Masculino
