survey_Id;Country;D11_O_professional_area_other;D11_O_professional_area_other_spelling;D11_O_professional_area_other_translate_es
BOL00001;Bolivia;salud;Salud;Salud
BOL00002;Bolivia;;;
BOL00003;Bolivia;;;
BOL00004;Bolivia;SALUD;Salud;Salud
BOL00005;Bolivia;PRIVADO INDEPENDIENTE PTODION LIBRE;Privado Independiente (Profesión Libre);Privado Independiente (Profesión Libre)
BOL00006;Bolivia;BANCA Y SEGUROS;Banca y Seguros;Banca y Seguros
BOL00007;Bolivia;;;
BOL00008;Bolivia;;;
BOL00009;Bolivia;;;
BOL00010;Bolivia;;;
BOL00011;Bolivia;;;
BOL00012;Bolivia;Ong;ONG;ONG
BOL00013;Bolivia;;;
BOL00014;Bolivia;;;
BOL00015;Bolivia;;;
BOL00016;Bolivia;;;
BOL00017;Bolivia;;;
BOL00018;Bolivia;;;
BOL00019;Bolivia;;;
BOL00020;Bolivia;;;
BOL00021;Bolivia;;;
BOL00022;Bolivia;;;
BOL00023;Bolivia;Trabaja en el area de salud;Área de Salud;Área de Salud
BOL00024;Bolivia;;;
BOL00025;Bolivia;;;
BOL00026;Bolivia;VENTAS;Ventas;Ventas
BOL00027;Bolivia;VENDEDOR DE PRODUCTOS MASIVOS;Vendedor de Productos Masivos;Vendedor de Productos Masivos
BOL00028;Bolivia;Vendedor;Vendedor;Vendedor
BOL00029;Bolivia;turismo;Turismo;Turismo
BOL00030;Bolivia;TRABAJA EN EL AEROPUERTO VIRU VIRU  VERIFICADORDE VUELO;Verificador de Vuelo;Verificador de Vuelo
BOL00031;Bolivia;TELECOMUNUCACIONES Y DOCENCIA;Telecomunicaciones y Docencia;Telecomunicaciones y Docencia
BOL00032;Bolivia;SPICOLOGIA SECTOR PRIVADO;Psicología (Sector Privado);Psicología (Sector Privado)
BOL00033;Bolivia;SISTEMA Y PROGRAMACIONION;Sistemas y Programación;Sistemas y Programación
BOL00034;Bolivia;SISTEMA FINANCIERO;Sistema Financiero;Sistema Financiero
BOL00035;Bolivia;sin fines de lucro;Sin Fines de Lucro;Sin Fines de Lucro
BOL00036;Bolivia;SERVICIOS FINANCIEROS;Servicios Financieros;Servicios Financieros
