id;description
1;Acre
2;Alagoas
3;Amapá
4;Amazonas
5;Apurímac
6;Arequipa
7;Ayacucho
8;Bahia
9;Cajamarca
10;Callao
11;Ceará
12;Cochabamba
13;Cusco
14;Distrito Federal
15;Espírito Santo
16;Goiás
17;Huancavelica
18;Huánuco
19;Ica
20;Junín
21;La Libertad
22;La Paz
23;Lambayeque
24;Lima
25;Loreto
26;Madre De Dios
27;Maranhão
28;Mato Grosso
29;Mato Grosso do Sul
30;Minas Gerais
31;Moquegua
32;Otro
33;Outros
34;Paraná
35;Paraíba
36;Pará
37;Pasco
38;Pernambuco
39;Piauí
40;Piura
41;Puno
42;Rio Grande do Norte
43;Rio Grande do Sul
44;Rio de Janeiro
45;Rondônia
46;Roraima
47;San Martín
48;Santa Catarina
49;Santa Cruz
50;Sergipe
51;São Paulo
52;Tacna
53;Tocantins
54;Tumbes
55;Ucayali
56;Áncash
