id;description
1;Abancay
2;Acobamba
3;Alto Amazonas
4;Andahuaylas
5;Arequipa
6;Ascope
7;Azangaro
8;Bagua
9;Barranca
10;Bellavista
11;Bolognesi
12;Cajabamba
13;Cajamarca
14;Callao
15;Camana
16;Canete
17;Caraveli
18;Caylloma
19;Celendin
20;Chachapoyas
21;Chanchamayo
22;Chepen
23;Chiclayo
24;Chincha
25;Coronel Portillo
26;Cusco
27;Distrito federal
28;El Alto
29;El Collao
30;Ferrenafe
31;Gran Chimu
32;Huamanga
33;Huancavelica
34;Huancayo
35;Huanuco
36;Huaral
37;Huaraz
38;Huaura
39;Ica
40;Ilo
41;Islay
42;Jaen
43;Junin
44;La Convencion
45;La Union
46;Lamas
47;Lambayeque
48;Leoncio Prado
49;Lima
50;Loreto
51;Mariscal Caceres
52;Mariscal Nieto
53;Mariscal Ramon Castilla
54;Maynas
55;Melgar
56;Moyobamba
57;Nasca
58;Nuestra señora de La Paz
59;Otuzco
60;Oxapampa
61;Pacasmayo
62;Paita
63;Paraná
64;Pasco
65;Pataz
66;Pisco
67;Piura
68;Pomabamba
69;Puno
70;Rio grande do sul
71;Rioja
72;San Martin
73;San Roman
74;Sanchez Carrion
75;Santa
76;Satipo
77;Sullana
78;São Paulo
79;Tacna
80;Talara
81;Tambopata
82;Tarma
83;Tocache
84;Trujillo
85;Tumbes
86;Ucayali
87;Viru
88;Yauli
89;Zarumilla
90;roraima
